"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Webb, Logan","657277","5.5","39.7","2.6","","30.9","","","","21.3",""
"Nola, Aaron","605400","27.7","20.6","9.2","","9.6","32.9","","","",""
"Cease, Dylan","656302","43.5","0.1","0.6","43.0","0.9","7.9","","","4.1",""
"Wheeler, Zack","554430","41.4","19.0","9.6","","","10.1","7.3","","12.5",""
"Ragans, Cole","666142","41.7","0.1","11.3","12.8","23.7","10.4","","","",""
"Lugo, Seth","607625","24.0","18.5","8.9","9.0","6.7","16.2","2.8","","3.6","10.5"
"Rodón, Carlos","607074","49.4","0.0","3.5","26.0","12.9","8.3","","","",""
"Peralta, Freddy","642547","53.8","0.1","","20.8","17.5","7.3","","","0.5",""
"Irvin, Jake","663623","37.7","20.7","6.6","0.3","3.4","31.3","","","",""
"Gilbert, Logan","669302","30.7","1.5","10.5","32.0","","","13.4","","11.8",""
"Manaea, Sean","640455","31.0","25.1","7.0","6.3","11.7","","","","18.9",""
"Burnes, Corbin","669203","0.1","7.7","45.0","12.8","11.1","21.5","","","1.9",""
"Gore, MacKenzie","669022","55.4","","14.2","1.3","9.3","19.4","","","0.5",""
"López, Pablo","641154","40.4","7.7","","","20.1","9.9","","","21.9",""
"Kirby, George","669923","34.5","23.1","0.4","","","8.1","10.2","0.0","23.7",""
"Singer, Brady","663903","11.0","41.7","0.0","40.3","1.7","","","","5.2",""
"Bassitt, Chris","605135","4.4","40.8","19.8","4.4","5.1","13.7","4.5","","7.4",""
"Kikuchi, Yusei","579328","47.0","","","24.0","11.1","17.9","","","",""
"Anderson, Tyler","542881","39.6","3.3","18.1","1.8","37.1","0.1","","","",""
"Berríos, José","621244","18.6","33.4","3.5","","16.0","","","","","28.6"
"King, Michael","650633","24.2","27.8","","5.6","24.6","","","","17.8",""
"Fedde, Erick","607200","0.7","30.5","32.3","","16.4","","","","20.2",""
"Brown, Hunter","686613","35.0","17.9","15.2","6.9","12.5","12.5","","","",""
"Severino, Luis","622663","35.7","24.6","8.1","7.0","7.5","","","","17.2",""
"Corbin, Patrick","571578","5.7","35.7","19.2","34.2","3.3","1.8","0.0","","",""
"Canning, Griffin","656288","37.3","1.3","","24.1","26.7","10.7","","","",""
"Gausman, Kevin","592332","51.9","6.3","","8.4","","","33.4","","",""
"Castillo, Luis","622491","45.3","18.1","","22.4","14.3","","","","",""
"Sears, JP","676664","36.1","10.7","","8.4","19.2","0.6","","","24.9",""
"Bibee, Tanner","676440","43.4","0.4","25.8","","18.0","6.1","","","6.5",""
"Cortes, Nestor","641482","44.4","1.2","28.0","0.9","9.6","","","","15.8",""
"Keller, Mitch","656605","29.5","22.6","12.3","9.5","1.0","9.6","","","15.5",""
"Skubal, Tarik","669373","33.2","20.6","","14.9","27.0","4.2","0.1","","",""
"Crawford, Kutter","676710","33.7","","32.1","","","7.2","8.6","","18.5",""
"Quintana, Jose","500779","22.5","30.4","","","19.3","21.9","","","","6.0"
"Sale, Chris","519242","38.2","7.2","","40.3","14.2","","","","",""
"Sánchez, Cristopher","650911","","47.3","0.2","16.8","35.7","","","","",""
"Flexen, Chris","623167","37.1","0.0","26.2","1.3","15.7","12.2","","","7.5",""
"Pfaadt, Brandon","694297","33.3","22.2","","","11.3","5.3","0.6","","27.3",""
"Morton, Charlie","450203","28.6","10.2","7.8","","11.0","42.4","","","",""
"Gibson, Kyle","502043","13.3","26.4","21.1","","9.9","8.6","","","20.6",""
"Fried, Max","608331","32.3","16.6","4.9","5.9","13.7","20.9","","","5.7",""
"Blanco, Ronel","669854","38.3","","","30.2","22.1","9.4","","","",""
"Miller, Bryce","682243","42.1","17.3","2.3","8.3","","4.5","17.1","","8.5",""
"Houck, Tanner","656557","0.1","32.1","1.5","","","","24.9","","41.4",""
"Heaney, Andrew","571760","51.0","0.5","0.2","27.2","16.9","3.6","","","","0.6"
"Bello, Brayan","678394","4.7","40.3","","0.3","26.9","","","","27.8",""
"Mikolas, Miles","571945","27.9","23.0","","24.3","8.5","12.1","","","4.1",""
"Civale, Aaron","650644","9.7","24.2","32.2","1.5","","15.7","2.0","","14.7",""
"Ober, Bailey","641927","38.1","","","19.4","29.4","1.3","","","11.8",""
"Gil, Luis","661563","48.8","","","25.9","25.3","","","","",""
"Stroman, Marcus","573186","3.0","35.2","18.3","16.0","","2.6","11.1","","","13.9"
"Rea, Colin","607067","19.5","30.9","19.4","","8.9","4.5","","","16.9",""
"Quantrill, Cal","615698","16.3","24.0","12.9","0.6","2.2","11.8","32.2","","",""
"Montas, Frankie","593423","33.0","19.3","18.8","6.3","","","18.3","","4.3",""
"Eovaldi, Nathan","543135","37.0","0.4","15.2","2.9","","13.7","30.8","","",""
"Gomber, Austin","596295","40.4","0.0","","16.7","20.5","22.4","","","",""
"Wacha, Michael","608379","23.3","15.7","11.4","9.2","32.2","8.1","","","",""
"Valdez, Framber","664285","0.7","46.2","","4.3","17.5","31.3","","","",""
"Imanaga, Shota","684007","51.9","2.2","0.5","","3.8","3.3","30.8","","7.6",""
"Feltner, Ryan","663372","36.0","13.7","","20.5","14.7","10.1","","","5.0",""
"Flaherty, Jack","656427","44.2","2.3","","29.0","2.7","21.8","","","",""
"Greene, Hunter","668881","55.2","","","34.6","","1.8","8.3","","",""
"Assad, Javier","665871","16.2","35.4","21.6","1.7","4.6","11.6","","","9.0",""
"Gallen, Zac","668678","46.3","0.2","3.9","7.9","14.0","27.7","","","",""
"Arrighetti, Spencer","681293","40.6","0.4","19.6","0.1","8.6","19.9","","","10.8",""
"Littell, Zack","641793","22.3","14.6","","34.8","","","23.2","","5.1",""
"Taillon, Jameson","592791","29.5","11.0","25.1","","4.3","14.7","","","15.5",""
"Gray, Sonny","543243","23.8","17.9","17.8","","6.4","13.9","","","20.2",""
"Spence, Mitch","687765","","14.6","39.6","32.5","1.2","12.1","","","",""
"Waldron, Matt","663362","18.7","14.6","8.7","","","","","38.2","19.8",""
"Eflin, Zach","621107","8.4","28.9","28.2","0.2","6.0","18.8","","","9.4",""
"Lively, Ben","594902","30.6","29.8","0.1","4.6","9.1","8.6","","","17.2",""
"Nelson, Ryne","669194","55.7","","18.4","8.5","9.9","5.7","","","1.8",""
"Parker, Mitchell","680730","48.6","","","9.8","","22.5","19.1","","",""
"Crochet, Garrett","676979","53.6","2.2","28.5","","5.9","","","","9.7",""
"Pivetta, Nick","601713","48.5","0.1","5.9","3.5","","16.3","","","25.7",""
"Suarez, Ranger","624133","19.6","31.4","12.1","0.1","16.3","20.5","","","",""
"Abbott, Andrew","671096","53.5","","","0.2","16.3","11.6","","","18.3",""
"Woods Richardson, Simeon","680573","40.3","","","31.2","19.3","9.3","","","",""
"Bradley, Taj","671737","41.7","","22.5","","","8.9","26.9","","",""
"Rogers, Trevor","669432","31.7","24.2","20.6","","23.5","","","","",""
"Suárez, Albert","544150","50.0","","19.5","","17.2","13.1","","","","0.2"
"Pérez, Martín","527048","4.6","36.6","22.0","0.0","22.7","14.1","","","",""
"Kremer, Dean","665152","32.2","14.8","23.0","","","11.4","18.5","","",""
"Marsh, Alec","679525","37.0","13.8","","17.9","10.0","16.4","","","4.9",""
"Stone, Gavin","694813","25.9","21.6","5.2","14.8","26.7","4.2","","","1.7",""
"Myers, Tobias","668964","40.5","0.0","22.8","21.1","11.4","4.1","","","",""
"Pepiot, Ryan","686752","50.4","0.2","5.8","17.4","23.4","2.7","","","",""
"Ortiz, Luis","682847","26.7","25.8","19.7","26.8","1.0","","","","",""
"Falter, Bailey","663559","48.8","13.9","","21.7","","15.2","0.5","","",""
"Hendricks, Kyle","543294","12.7","35.5","","","38.7","13.1","","","",""
"Skenes, Paul","694973","39.2","","","6.2","5.4","10.8","28.4","","10.0",""
"Martinez, Nick","607259","22.5","17.3","20.5","6.1","21.6","11.9","","","",""
"López, Reynaldo","625643","55.2","","","29.4","3.9","11.6","","","",""
"Ryan, Joe","657746","48.4","6.0","","7.1","","","22.3","","16.2",""
"Lorenzen, Michael","547179","27.0","21.3","10.0","8.7","18.8","7.9","","","6.2",""
"Harrison, Kyle","690986","57.6","0.0","0.3","","19.8","0.0","","","","22.3"
"Steele, Justin","657006","59.7","5.2","","29.7","3.2","2.2","","","",""
"Lynn, Lance","458681","47.3","16.7","22.3","","6.3","6.2","","","1.3",""
"Cannon, Jonathan","686563","12.3","28.0","19.2","","18.7","","","","21.8",""
"Estes, Joey","683155","51.3","3.9","0.7","13.6","11.0","","","","19.5",""
"Glasnow, Tyler","607192","45.2","8.5","","27.7","","18.6","","","",""
"Maeda, Kenta","628317","22.5","7.2","1.7","22.7","","1.6","31.1","","13.3",""
"Hicks, Jordan","663855","5.4","51.5","","","","","19.1","","24.1",""
"Pallante, Andre","669467","50.4","19.8","","17.2","","12.6","","","",""
"Montgomery, Jordan","656756","17.2","30.9","","1.8","19.3","30.7","","","",""
"Jones, Jared","683003","49.2","0.1","","34.9","6.5","9.3","","","",""
"Schwellenbach, Spencer","680885","28.8","7.0","16.9","19.9","","14.6","12.8","","",""
"Rodriguez, Grayson","680570","47.7","","","15.8","21.0","15.5","","","",""
"Peterson, David","656849","26.2","31.3","","18.4","16.4","7.6","","","",""
"Lodolo, Nick","666157","27.7","28.6","","","16.4","27.3","","","",""
"Olson, Reese","681857","23.9","20.0","","27.8","22.3","6.0","","","",""
"Mize, Casey","663554","38.2","8.4","0.8","26.0","","7.5","18.2","","","0.8"
"Snell, Blake","605483","46.3","0.1","","10.0","17.5","26.1","","","",""
"Freeland, Kyle","607536","20.4","26.6","22.6","","11.6","18.8","","","",""
"Irvin, Cole","608344","22.9","23.5","11.0","","13.4","3.9","","","","25.3"
"Ureña, José","570632","5.3","41.9","","34.6","18.2","","","","",""
"Criswell, Cooper","681867","","29.7","15.4","1.9","26.1","","","","26.8",""
"Soriano, José","667755","14.9","46.5","","5.2","","25.3","7.9","","",""
"Cabrera, Edward","665795","27.7","9.5","","8.4","32.6","21.9","","","",""
"Woo, Bryan","693433","48.8","23.2","","9.6","9.4","","","","9.1",""
"Paxton, James","572020","54.3","5.7","3.1","","6.6","30.3","","","",""
"Carrasco, Carlos","471911","25.3","17.1","","24.3","23.2","6.9","","","3.2",""
"Dunning, Dane","641540","2.7","37.8","18.8","23.4","12.4","4.7","","","",""
"Vásquez, Randy","681190","28.1","16.0","13.8","0.2","12.4","16.4","","","13.1",""
"Alexander, Tyler","641302","22.7","12.7","31.8","0.4","13.7","","","","18.7",""
"Allen, Logan","671106","37.4","11.1","14.6","","18.2","","","","18.8",""
"Wilson, Bryse","669060","14.9","32.3","34.9","","4.1","13.9","","","",""
"Gray, Jon","592351","44.4","","","43.9","7.1","4.6","","","",""
"Herz, DJ","687792","54.2","","","17.9","24.5","3.3","","","",""
"Musgrove, Joe","605397","23.0","6.0","20.4","0.3","7.8","22.5","","","20.0",""
"Verlander, Justin","434378","48.5","0.1","","19.3","10.1","21.9","","","",""
"Francis, Bowden","670102","51.3","3.0","","9.3","","18.2","18.3","","",""
"Detmers, Reid","672282","42.4","4.4","","24.5","14.1","14.6","","","",""
"Spiers, Carson","686730","29.8","17.6","16.0","0.8","12.1","","","","23.7",""
"Montero, Keider","672456","41.5","7.9","","28.5","10.7","11.5","","","",""
"Cole, Gerrit","543037","45.4","0.9","15.8","15.1","4.0","18.7","","","",""
"Yarbrough, Ryan","642232","17.5","29.6","10.1","","15.3","","","","27.1","0.3"
"Hudson, Dakota","641712","15.6","32.6","0.5","24.3","10.1","17.0","","","",""
